0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
01199900,"Otros Alimentos Precocidos Y Preparados: Ajiaco, Lenteja, Frijol, Lechona Enlatada Y Similares",110.68,0.16,1.94,5.23,0.0,0.0,0.0,,,,,,,,,,,,
01210100,Café Y Productos A Base De Café,104.55,1.03,1.29,1.48,0.0,0.0,0.0,,,,,,,,,,,,
01210200,Chocolate Y Productos A Base De Chocolate,111.18,1.31,4.1,7.35,0.0,0.01,0.01,,,,,,,,,,,,
01210300,Té E Infusiones (Para Bebidas Calientes),113.66,0.8,3.42,9.45,0.0,0.0,0.0,,,,,,,,,,,,
01220100,Agua Mineral (Con Y Sin Gas) Para Consumo En El Hogar,113.67,0.49,1.02,3.68,0.0,0.0,0.0,,,,,,,,,,,,
01220600,"Refrescos Líquidos Empacados (Jugos, Té Fríos Y Bebidas Hidratantes)",110.34,1.18,2.45,6.89,0.0,0.0,0.01,,,,,,,,,,,,
01220700,Concentrados Para Preparar Refrescos,88.44,0.04,0.21,0.79,0.0,0.0,0.0,,,,,,,,,,,,
01221100,Gaseosas y maltas para consumo en el hogar,113.64,1.61,2.06,3.07,0.01,0.01,0.01,,,,,,,,,,,,
01221200,"Bebidas energizantes y a base de arroz, soya, coco y similares",107.44,-0.06,1.32,3.78,0.0,0.0,0.0,,,,,,,,,,,,
02110100,Aguardiente,112.08,0.15,0.78,0.0,0.0,0.0,0.0,,,,,,,,,,,,
02110500,"Whisky, ron, brandy, vodka, ginebra, coñac, tequila, cremas de licor y aperitivos",113.21,0.94,2.9,4.78,0.0,0.01,0.02,,,,,,,,,,,,
02120100,"Vino, Champaña, Jerez Y Aperitivos A Base De Vino Para Consumo En El Hogar",113.91,-0.15,-1.63,2.15,0.0,0.0,0.0,,,,,,,,,,,,
02130100,Cerveza Y Refajo,105.51,0.38,0.78,1.88,0.0,0.01,0.02,,,,,,,,,,,,
02210100,"Cigarrillos, tabaco y derivados",128.98,0.97,5.0,7.53,0.0,0.01,0.01,,,,,,,,,,,,
03120100,Prendas De Vestir Para Hombre,96.33,-1.03,-0.82,-4.67,-0.01,-0.01,-0.05,,,,,,,,,,,,
03120200,Prendas De Vestir Para Mujer,91.93,-0.64,-1.53,-7.11,-0.01,-0.01,-0.07,,,,,,,,,,,,
03120500,Prendas De Vestir Para Bebés,103.98,0.23,5.9,1.69,0.0,0.0,0.0,,,,,,,,,,,,
03120600,Uniformes,107.9,0.09,0.36,0.72,0.0,0.0,0.0,,,,,,,,,,,,
03120700,Prendas de vestir para niña y niño,102.38,0.2,4.84,1.43,0.0,0.02,0.01,,,,,,,,,,,,
03131000,"Otros artículos y accesorios de vestir para hombre y mujer, incluyendo artículos de vestir para adulto y bebé y materiales",107.52,0.94,5.29,5.3,0.0,0.0,0.0,,,,,,,,,,,,
03140200,Lavado Y Planchado De Ropa,106.72,0.14,0.94,1.24,0.0,0.0,0.0,,,,,,,,,,,,
03210100,Calzado Para Hombre,99.89,0.17,4.14,-0.54,0.0,0.02,0.0,,,,,,,,,,,,
03210200,Calzado Para Mujer,101.59,0.08,6.59,0.92,0.0,0.02,0.0,,,,,,,,,,,,
03210700,Calzado para niño y niña,102.66,-0.23,7.47,1.87,0.0,0.01,0.0,,,,,,,,,,,,
04130100,Arriendo efectivo ,104.85,0.22,0.86,1.13,0.02,0.09,0.12,,,,,,,,,,,,
04230100,Arriendo imputado,105.09,0.23,0.96,1.38,0.03,0.14,0.2,,,,,,,,,,,,
04310100,Materiales Para La Conservación Y La Reparación De La Vivienda,108.05,0.17,2.38,5.31,0.0,0.0,0.01,,,,,,,,,,,,
04410100,Suministro De Agua,112.92,0.51,4.56,7.86,0.01,0.09,0.14,,,,,,,,,,,,
04420100,Recogida De Basuras,126.18,0.34,9.31,10.52,0.0,0.04,0.05,,,,,,,,,,,,
04430100,Alcantarillado,116.09,0.36,2.77,7.18,0.0,0.01,0.04,,,,,,,,,,,,
04440100,Servicios Relacionados Con La Copropiedad,111.53,0.58,1.54,2.91,0.01,0.02,0.03,,,,,,,,,,,,
04510100,Electricidad,112.42,1.64,3.43,3.53,0.05,0.1,0.11,,,,,,,,,,,,
04520300,Gas,111.76,1.57,1.47,1.06,0.02,0.02,0.01,,,,,,,,,,,,
05110100,Muebles,107.43,0.69,2.95,5.45,0.0,0.02,0.03,,,,,,,,,,,,
05110200,Equipo De Iluminación,104.37,0.4,0.87,1.83,0.0,0.0,0.0,,,,,,,,,,,,
05119900,Otros Artículos De Decoración,106.4,0.39,0.16,3.52,0.0,0.0,0.0,,,,,,,,,,,,
05210200,Ropa confeccionada para cama,105.53,0.37,1.42,3.16,0.0,0.0,0.0,,,,,,,,,,,,
05210700,Ropa de tocador y productos textiles del hogar,108.01,0.66,1.85,3.89,0.0,0.0,0.0,,,,,,,,,,,,
05310100,"Neveras, Refrigeradores Y Congeladores",109.8,-0.14,9.59,6.54,0.0,0.01,0.01,,,,,,,,,,,,
05310200,"Lavadoras, Secadoras Y Lava-Vajillas",103.82,0.82,8.4,1.0,0.0,0.01,0.0,,,,,,,,,,,,
05310300,"Estufas, Hornos Y Pipetas De Gas",114.02,0.67,13.06,7.68,0.0,0.01,0.0,,,,,,,,,,,,
05320100,Aparatos Eléctricos  Pequeños Para El Hogar,108.69,0.38,8.5,6.01,0.0,0.0,0.0,,,,,,,,,,,,
05410100,"Cristalería y vajilla Artículos, vajillas y utensilios de vidrio, cristal, porcelana y cerámica para el hogar",110.66,0.59,2.19,6.05,0.0,0.0,0.0,,,,,,,,,,,,
05410300,Utensilios de cocina y menaje no eléctricos,107.37,0.44,1.55,5.15,0.0,0.0,0.0,,,,,,,,,,,,
05520300,Accesorios Eléctricos Pequeños,104.46,0.47,0.96,4.99,0.0,0.0,0.01,,,,,,,,,,,,
05610100,Productos De Limpieza Y Mantenimiento,95.22,-0.01,-0.55,-7.58,0.0,-0.01,-0.1,,,,,,,,,,,,
05610200,Elementos De Aseo,99.08,0.16,0.5,-4.55,0.0,0.0,-0.01,,,,,,,,,,,,
05610400,"Artículos De Ferretería: Puntillas, Clavos, Tornillos, Tuercas, Brocas, Brochas, Pinceles, Lijas Y Otros.",104.82,-0.18,1.09,3.76,0.0,0.0,0.0,,,,,,,,,,,,
05610600,Productos desechables y no duraderos para el hogar,105.47,0.53,1.22,3.06,0.0,0.0,0.01,,,,,,,,,,,,
05620100,Servicio Doméstico,109.26,0.59,2.35,1.98,0.01,0.03,0.02,,,,,,,,,,,,
06110300,Productos farmacéuticos y dermatológicos,111.28,0.42,1.98,5.39,0.0,0.02,0.06,,,,,,,,,,,,
06120100,Elementos Implementos Médicos,98.9,-1.79,-9.19,-8.03,0.0,0.0,0.0,,,,,,,,,,,,
06130100,Artefactos Y Equipo Terapéutico Y Su Reparación,108.47,0.81,1.72,3.39,0.0,0.0,0.0,,,,,,,,,,,,
06210100,Consulta Médica General Con Médico Particular,110.86,0.28,1.8,3.46,0.0,0.0,0.0,,,,,,,,,,,,
06210500,"Consulta médica con médico especialista particular (incluye ortodoncia): pediatría, oftalmología, ginecología, siquiatría, traumatología, cardiología y otros especialistas",108.15,0.27,1.59,2.99,0.0,0.0,0.01,,,,,,,,,,,,
06220100,"Servicios Odontológicos Con Odontólogos Particulares: Consultas, Profilaxis, Exodoncias (Extracción), Amalgamas, Sellantes, Fluorización.",107.57,0.14,0.5,3.28,0.0,0.0,0.01,,,,,,,,,,,,
06230100,"Servicios Para Particulares En Centros De Rayos X: Radiografías (Incluyendo Las Dentales), Urografías, Mamografías, Electrocardiogramas Y Otras Imágenes Diagnósticas",106.84,0.25,1.22,1.35,0.0,0.0,0.0,,,,,,,,,,,,
06230200,"Exámenes De Laboratorio Para Particulares: De Sangre, Bacteriológicos, Etc.",108.22,0.03,1.34,2.98,0.0,0.0,0.0,,,,,,,,,,,,
06230300,Servicios Médicos Auxiliares No Hospitalarios,104.84,0.53,2.14,1.37,0.0,0.0,0.0,,,,,,,,,,,,
06310300,"Servicios médicos menores (pequeña cirugía, cirugía ambulatoria, urgencias, etc.)",102.49,2.17,2.46,3.38,0.0,0.0,0.0,,,,,,,,,,,,
07110100,Vehículo Particular Nuevo O Usado,109.07,0.26,0.85,5.17,0.01,0.02,0.13,,,,,,,,,,,,
07120100,Motos Y Bicicletas Con Motor Nuevas O Usadas,117.82,0.21,2.63,9.98,0.0,0.01,0.02,,,,,,,,,,,,
07130100,Compra De Bicicletas Nuevas O Usadas (Excepto Para Niños),115.69,0.48,5.42,11.51,0.0,0.0,0.01,,,,,,,,,,,,
07210100,"Llantas Y Neumáticos, Rines Para Vehículo",113.63,0.09,1.74,3.74,0.0,0.0,0.0,,,,,,,,,,,,
07210300,"Productos Para La Limpieza Y Conservación Del  Vehículo: Pintura, Limpiadores, Selladores, Shampoo, Ceras, Ambientadores, Eliminador De Olores, Pañitos Húmedos Para Vehículos, Etc.",110.76,0.4,0.99,1.71,0.0,0.0,0.0,,,,,,,,,,,,
07210600,"Piezas Para Bicicleta: Llantas, Neumáticos, Rines, Manzanas, Cadenas, Cambios, Piñones, Guallas, Sillines, Candados Y Cable Candado, Luces, Etc.",118.43,1.26,4.83,9.91,0.0,0.0,0.0,,,,,,,,,,,,
07219900,Otras Piezas De Repuesto Para Vehículo,108.22,0.72,1.4,2.65,0.0,0.0,0.0,,,,,,,,,,,,
07220400,"Aditivos, Valvulinas, Líquido Para Frenos, Refrigerantes, Agua Para Batería, Etc.",108.04,0.14,0.64,4.05,0.0,0.0,0.0,,,,,,,,,,,,
07220500,Combustibles para vehículos,95.13,1.14,6.34,-0.32,0.03,0.16,-0.01,,,,,,,,,,,,
07230100,"Mantenimiento Y Reparaciones Efectuadas En El Taller: Engrase, Sincronización, Revisiones Técnicas, Instalaciones De Partes Y Accesorios, Balanceo De Ruedas, Despinchada, Lavado Y Polichado, Servicios De Grúa, Etc.",105.42,0.49,1.37,2.02,0.0,0.01,0.01,,,,,,,,,,,,
07230200,Compra Y Cambio De Aceite,110.43,0.72,1.58,3.96,0.0,0.0,0.01,,,,,,,,,,,,
07230300,Servicios De Latonería Y Pintura,105.84,0.08,0.4,0.01,0.0,0.0,0.0,,,,,,,,,,,,
07240100,Parqueaderos,106.79,0.16,0.94,1.63,0.0,0.0,0.01,,,,,,,,,,,,
07240200,Peajes,109.13,0.0,1.46,1.46,0.0,0.0,0.0,,,,,,,,,,,,
07240300,"Gastos Reglamentarios Relacionados Con La Propiedad, Manejo Y Alquiler De Vehículos",115.55,-0.01,3.57,3.74,0.0,0.0,0.0,,,,,,,,,,,,
07330100,Transporte De Pasajeros Y Equipaje En Avión (Incluye Pagos Por Exceso De Equipaje),92.48,2.34,-4.12,-2.29,0.0,-0.01,0.0,,,,,,,,,,,,
07371000,Transporte urbano  (incluye tren y metro),110.6,0.12,1.62,2.53,0.01,0.08,0.12,,,,,,,,,,,,
07372000,"Transporte intermunicipal, interveredal e interIPC",135.55,-1.08,-2.75,45.04,0.0,-0.01,0.13,,,,,,,,,,,,
07373000,Transporte escolar,113.38,0.0,1.72,1.76,0.0,0.01,0.01,,,,,,,,,,,,
08210200,"Equipos de telefonía móvil, similares y reparación",76.06,-1.59,-6.28,-14.47,0.0,-0.02,-0.05,,,,,,,,,,,,
08310400,Servicios de comunicación fija y móvil y provisión a internet,102.64,-1.09,-1.91,1.59,-0.04,-0.08,0.06,,,,,,,,,,,,
09110100,"Equipo Para La Recepción, Grabación Y Reproducción De Sonido Únicamente",95.17,-0.4,4.07,-2.47,0.0,0.0,0.0,,,,,,,,,,,,
09110200,"Equipo Para La Grabación, Recepción Y Reproducción  De Imagen Y Sonido",97.33,0.86,14.56,5.62,0.0,0.03,0.01,,,,,,,,,,,,
09130100,Aparatos De Procesamiento De Información Y Hardware,95.11,0.37,2.34,0.15,0.0,0.0,0.0,,,,,,,,,,,,
09310200,Juegos Y Juguetes Infantiles,106.58,0.41,4.16,4.35,0.0,0.01,0.01,,,,,,,,,,,,
09310300,"Artículos, Adornos Y Prendas De Vestir Para Fiestas",102.9,0.13,0.06,0.81,0.0,0.0,0.0,,,,,,,,,,,,
09330200,"Plantas Naturales: Ramos De Flores, Matas, Arbustos",109.85,0.02,1.84,5.03,0.0,0.0,0.0,,,,,,,,,,,,
09340200,Alimentos Para Animales Domésticos Y Mascotas,112.86,-0.55,-0.38,4.04,0.0,0.0,0.01,,,,,,,,,,,,
09340300,"Productos  Para Animales Domésticos Y Mascotas, Productos De Veterinaria, Artículos Para El Cuidado E Higiene (Shampoo, Jabón, Desodorantes) Y Accesorios Para Mascotas (Collares, Perrera, Jaula, Acuarios Y Otros)",105.0,0.2,1.3,1.91,0.0,0.0,0.0,,,,,,,,,,,,
09350100,"Servicios De Veterinaria Y De Otro Tipo Para Animales Domésticos: Cuidado, Salón De Belleza, Alojamiento, Entrenamiento, Paseadores De Perros Y Colegios Para Mascotas Etc.",113.24,0.4,2.72,5.05,0.0,0.0,0.01,,,,,,,,,,,,
09410100,Servicios Recreativos,95.73,-0.44,0.53,-7.75,0.0,0.0,-0.02,,,,,,,,,,,,
09410200,Servicios Prestados Por Escenarios Deportivos,102.4,0.77,-0.4,1.17,0.0,0.0,0.0,,,,,,,,,,,,
09420100,Cines Y Teatros,111.57,0.03,-0.5,-0.25,0.0,0.0,0.0,,,,,,,,,,,,
09420600,Suscripción y servicio de televisión por redes y cable ,107.22,0.0,0.04,-0.16,0.0,0.0,0.0,,,,,,,,,,,,
09510100,Libros Y Lista De Útiles Escolares Completa,103.56,-0.02,0.89,1.74,0.0,0.0,0.0,,,,,,,,,,,,
09510200,"Libros de texto: textos guías para clase (incluye libros de literatura, poesía, etc., requeridos en clase)",107.64,0.08,0.54,0.73,0.0,0.0,0.0,,,,,,,,,,,,
09520400,Compra de periódicos,107.05,0.0,2.3,2.81,0.0,0.0,0.0,,,,,,,,,,,,
09530100,Material Impreso Diverso,100.57,0.0,-0.06,-0.32,0.0,0.0,0.0,,,,,,,,,,,,
09540100,"Artículos De Papelería: Cuadernos, Agendas, Papel Suelto Y En Resmas",102.41,0.06,0.77,0.98,0.0,0.0,0.0,,,,,,,,,,,,
09540200,Artículos Para Escribir,108.16,0.36,2.78,4.92,0.0,0.0,0.01,,,,,,,,,,,,
09540300,Artículos Para Pintura Y Dibujo,104.76,0.43,2.29,3.2,0.0,0.0,0.0,,,,,,,,,,,,
09610300,"Paquetes turísticos completos, incluye paquetes de viajes de excursión realizados durante un día (sin pernoctar)",96.13,-0.08,-10.85,-6.37,0.0,-0.06,-0.04,,,,,,,,,,,,
10110400,Educación preescolar y básica primaria,111.67,0.02,5.14,-0.02,0.0,0.08,0.0,,,,,,,,,,,,
10210100,Educación Secundaria,113.69,0.04,3.8,1.83,0.0,0.04,0.02,,,,,,,,,,,,
10410100,"Inscripciones y matrículas en carreras técnicas, tecnológicas y universitarias",84.91,2.62,4.51,-23.46,0.03,0.05,-0.33,,,,,,,,,,,,
10410200,"Inscripciones y matrículas en postgrados (especialización, maestría, doctorado)",106.84,3.18,9.99,-1.85,0.01,0.02,0.0,,,,,,,,,,,,
10419900,Otros gastos en educación superior,104.64,0.41,4.58,-2.83,0.0,0.01,0.0,,,,,,,,,,,,
10510100,Cursos de educación no formal,102.77,0.07,1.69,-4.63,0.0,0.0,-0.01,,,,,,,,,,,,
10510400,"Diplomados, educación continuada, preicfes, preuniversitarios",107.85,0.0,6.89,6.72,0.0,0.0,0.0,,,,,,,,,,,,
10510800,Pagos por asesorías de tareas y clases dictadas por particulares,108.52,0.03,2.0,2.01,0.0,0.0,0.0,,,,,,,,,,,,
11110100,"Comidas en establecimientos de servicio a la mesa y autoservicio,  medios de transporte, máquinas expendedoras, puestos móviles, y lugares de esparcimiento; se incluyen también las  contratadas por encargo, para llevar y por servicio a domicilio",111.41,0.48,2.59,4.86,0.03,0.17,0.31,,,,,,,,,,,,
11110200,"Bebidas calientes : tinto, café con leche, chocolate, té, bebida achocolatada caliente, leche, agua de panela, agua aromática, avena caliente y similares  para consumo inmediato, en establecimientos de servicio a la mesa y autoservicio.",106.95,0.13,1.73,2.44,0.0,0.0,0.01,,,,,,,,,,,,
11110300,"Gaseosa Y Otros Refrescos  En Establecimientos De Servicio A La Mesa Y Autoservicio,  Medios De Transporte, Maquinas Expendedoras, Puestos Moviles, Y Lugares De Esparcimiento; Se Incluyen Tambien Las Adquiriudas Para Llevar Y Servicio A Domicilio",110.38,0.48,1.65,3.13,0.0,0.01,0.01,,,,,,,,,,,,
11110400,"Comidas preparadas fuera del hogar para consumo inmediato, en establecimientos de servicio a la mesa y autoservicio,  puestos móviles, lugares de esparcimiento, para llevar y por servicio a domicilio",108.99,0.11,1.91,3.41,0.0,0.04,0.07,,,,,,,,,,,,
11110700,"Gastos en discotecas, bares, griles, tabernas, fondas y tiendas dentro y  al aire libre (comida, bebidas, cover)",106.61,0.02,-0.47,0.26,0.0,0.0,0.0,,,,,,,,,,,,
11120100,Pago Por Alimentación En Comedores,113.39,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,
11210100,"Servicios de alojamiento en hoteles, pensiones, posadas, hostales y moteles; alojamiento en centros de vacaciones y por motivo de enseñanza: internados",91.3,0.28,-3.57,-11.33,0.0,-0.01,-0.03,,,,,,,,,,,,
12110100,Servicios Prestados En Salones De Peluquería Y Establecimientos De Cuidado Personal,107.39,0.44,1.24,3.05,0.0,0.01,0.02,,,,,,,,,,,,
12120100,Aparatos Eléctricos Para El Cuidado Personal Y Su Reparación,108.75,0.35,8.28,8.17,0.0,0.0,0.0,,,,,,,,,,,,
12130100,Artículos Para El Cuidado Y La Atención Personal,106.92,0.46,1.64,2.93,0.0,0.0,0.0,,,,,,,,,,,,
12130200,Artículos Para Higiene Corporal,106.02,0.36,1.58,0.8,0.01,0.02,0.01,,,,,,,,,,,,
12130300,Artículos Para La Higiene Oral,106.72,0.2,0.99,4.17,0.0,0.0,0.02,,,,,,,,,,,,
12130400,Productos De Belleza,105.24,0.32,0.74,2.51,0.0,0.0,0.01,,,,,,,,,,,,
12139900,Otros Productos Para El Aseo Personal,104.75,0.46,0.68,1.4,0.0,0.01,0.01,,,,,,,,,,,,
12310100,"Artículos En Oro,  Plata Y Piedras Preciosas Y Su Reparación",152.06,0.43,1.9,23.41,0.0,0.0,0.02,,,,,,,,,,,,
12310200,"Relojes, Cronómetros, Termómetros, Barómetros Y Su Reparación",108.25,-0.06,0.49,3.79,0.0,0.0,0.0,,,,,,,,,,,,
12310300,Artículos De Fantasía Y Su Reparación,106.08,0.14,3.05,5.25,0.0,0.0,0.0,,,,,,,,,,,,
12320100,Artículos De Viaje Y Otros Artículos Para El Transporte De Efectos Personales,100.63,-0.45,1.33,0.96,0.0,0.0,0.0,,,,,,,,,,,,
12320200,Artículos Para Bebés Y Su Reparación,101.82,0.05,-0.44,-0.91,0.0,0.0,0.0,,,,,,,,,,,,
12320400,"Artículos personales varios como: gafas de sol, lentes de contacto cosméticos, bastones, paraguas y sombrillas, abanicos, llaveros, etc.",101.72,0.5,2.78,0.7,0.0,0.0,0.0,,,,,,,,,,,,
12410100,Servicios de protección social dentro y fuera del hogar,103.62,0.13,1.27,-0.3,0.0,0.0,0.0,,,,,,,,,,,,
12410200,"Guarderías, salacunas, cuidado de niños fuera del hogar y servicios de adopción",112.55,-0.23,1.79,0.95,0.0,0.01,0.0,,,,,,,,,,,,
12410300,Cuotas moderadoras a EPS,116.6,0.0,3.34,3.34,0.0,0.0,0.0,,,,,,,,,,,,
12530100,"Seguros médicos, de accidentes y medicina prepagada",117.44,0.93,4.31,4.32,0.0,0.01,0.01,,,,,,,,,,,,
12540100,Seguros De Vehículos Y Otros Relacionados Con El Transporte,93.84,1.44,3.33,0.32,0.0,0.0,0.0,,,,,,,,,,,,
12620400,Servicios auxiliares y  financieros prestados a cambio de una comisión explicita,110.35,0.0,2.71,2.86,0.0,0.0,0.0,,,,,,,,,,,,
12710500,"Certificados, documentos administrativos y pago de honorarios",107.26,0.0,1.61,1.61,0.0,0.0,0.0,,,,,,,,,,,,
12719900,Otros pagos por servicios,109.55,0.37,1.69,4.63,0.0,0.0,0.0,,,,,,,,,,,,
01110100,Arroz,114.43,-2.66,-7.31,-13.01,-0.03,-0.08,-0.15,,,,,,,,,,,,
01110200,Pastas Alimenticias,116.39,0.23,4.87,5.5,0.0,0.01,0.01,,,,,,,,,,,,
01110300,Avena Y Sus Derivados,109.81,0.2,7.68,9.94,0.0,0.0,0.0,,,,,,,,,,,,
01110500,Trigo Y Sus Derivados,113.62,1.85,6.08,5.55,0.0,0.0,0.0,,,,,,,,,,,,
01110600,Maíz Y Sus Derivados,121.16,1.4,7.59,6.12,0.0,0.01,0.0,,,,,,,,,,,,
01110800,Pan,111.91,0.73,4.72,4.74,0.01,0.03,0.03,,,,,,,,,,,,
01119800,"Otras Harinas, Cereales Y Almidones",110.75,1.3,4.05,4.61,0.0,0.01,0.01,,,,,,,,,,,,
01119900,Otros Productos De Panadería,107.92,0.83,4.63,4.94,0.0,0.01,0.01,,,,,,,,,,,,
01120100,Carne De Res Y Derivados,134.26,1.03,23.23,26.06,0.02,0.45,0.5,,,,,,,,,,,,
01120200,Carne De Cerdo Y Derivados,128.02,3.44,12.74,24.41,0.02,0.07,0.11,,,,,,,,,,,,
01120300,Carne De Aves,132.64,1.62,22.65,22.19,0.02,0.29,0.28,,,,,,,,,,,,
01120500,"Carnes Preparadas, Charcutería Y Otros Productos Conteniendo Carne",116.25,2.96,7.2,8.06,0.01,0.03,0.03,,,,,,,,,,,,
